종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","1930","40","2.12","102403947200"
"054620","APS","KOSDAQ","금융","5220","40","0.77","103847833620"
"265520","AP시스템","KOSDAQ","기계·장비","16200","350","2.21","247559020200"
"211270","AP위성","KOSDAQ","운송장비·부품","13400","-60","-0.45","202102873600"
"109960","AP헬스케어","KOSDAQ","유통","510","0","0.00","102402527190"
"139050","BF랩스","KOSDAQ","IT 서비스","2805","0","0.00","24247965555"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","2820","45","1.62","177002655180"
"013720","CBI","KOSDAQ","운송장비·부품","833","23","2.84","37175237288"
"083790","CG인바이츠","KOSDAQ","일반서비스","2485","70","2.90","191082042270"
"035760","CJ ENM","KOSDAQ","오락·문화","54700","1000","1.86","1199524723800"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","10230","80","0.79","133659676260"
"051500","CJ프레시웨이","KOSDAQ","유통","17690","400","2.31","210008356340"
"058820","CMG제약","KOSDAQ","제약","1804","39","2.21","250561608176"
"023460","CNH","KOSDAQ","금융","109","0","0.00","4054800000"
"056730","CNT85","KOSDAQ","건설","692","-1","-0.14","51284940712"
"065770","CS","KOSDAQ","전기·전자","2035","-145","-6.65","39501649550"
"083660","CSA 코스믹","KOSDAQ","화학","1000","-7","-0.70","61247181000"
"456440","DB금융스팩11호","KOSDAQ","금융","2275","0","0.00","12091625000"
"477760","DB금융스팩12호","KOSDAQ","금융","2060","0","0.00","12030400000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"060900","DGP","KOSDAQ","전기·가스","1007","7","0.70","25435036603"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2270","55","2.48","35219363260"
"025440","DH오토웨어","KOSDAQ","전기·전자","845","20","2.42","26010134280"
"068790","DMS","KOSDAQ","기계·장비","5770","20","0.35","141786561970"
"241520","DSC인베스트먼트","KOSDAQ","금융","2875","5","0.17","79051359375"
"180400","DXVX","KOSDAQ","일반서비스","1933","59","3.15","95141162056"
"245620","EDGC","KOSDAQ","일반서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","5800","120","2.11","50024837600"
"050120","ES큐브","KOSDAQ","유통","1940","45","2.37","26314326840"
"214270","FSN","KOSDAQ","IT 서비스","1884","56","3.06","62643872292"
"130500","GH신소재","KOSDAQ","섬유·의류","2830","70","2.54","41162497160"
"900290","GRT","KOSDAQ","금융","3310","15","0.46","267613500000"
"083450","GST","KOSDAQ","기계·장비","17060","420","2.52","317627515600"
"297890","HB솔루션","KOSDAQ","기계·장비","2865","120","4.37","209548718610"
"440290","HB인베스트먼트","KOSDAQ","금융","1583","7","0.44","42910396830"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2065","71","3.56","191458366540"
"195940","HK이노엔","KOSDAQ","제약","36400","450","1.25","1031208032400"
"028300","HLB","KOSDAQ","제약","75700","2300","3.13","9946028678100"
"278650","HLB바이오스텝","KOSDAQ","일반서비스","2265","150","7.09","196444784085"
"067630","HLB생명과학","KOSDAQ","제약","10370","340","3.39","1263934808970"
"024850","HLB이노베이션","KOSDAQ","전기·전자","2650","60","2.32","382405925950"
"187420","HLB제넥스","KOSDAQ","제약","5050","685","15.69","146885148400"
"047920","HLB제약","KOSDAQ","일반서비스","24650","700","2.92","784239602100"
"115450","HLB테라퓨틱스","KOSDAQ","유통","13780","1390","11.22","1104328276740"
"046210","HLB파나진","KOSDAQ","제약","2925","75","2.63","124333902225"
"403870","HPSP","KOSDAQ","기계·장비","28050","1600","6.05","2334180076800"
"036640","HRS","KOSDAQ","화학","4725","75","1.61","77276430000"
"439730","IBKS제20호스팩","KOSDAQ","금융","2150","0","0.00","9266500000"
"442770","IBKS제21호스팩","KOSDAQ","금융","2145","35","1.66","9030450000"
"448760","IBKS제22호스팩","KOSDAQ","금융","2130","30","1.43","9435900000"
"467930","IBKS제23호스팩","KOSDAQ","금융","2095","35","1.70","8861850000"
"469480","IBKS제24호스팩","KOSDAQ","금융","2115","25","1.20","8946450000"
"095340","ISC","KOSDAQ","유통","71000","1000","1.43","1504991118000"
"950170","JTC","KOSDAQ","유통","4070","30","0.74","210607636360"
"067290","JW신약","KOSDAQ","제약","1588","22","1.40","80736305176"
"035900","JYP Ent.","KOSDAQ","오락·문화","67800","200","0.30","2409102957600"
"318000","KBG","KOSDAQ","화학","4795","125","2.68","41909369285"
"024840","KBI메탈","KOSDAQ","금속","2035","10","0.49","71040219965"
"024120","KB오토시스","KOSDAQ","운송장비·부품","3270","95","2.99","37605000000"
"455250","KB제25호스팩","KOSDAQ","금융","2070","20","0.98","8911350000"
"458320","KB제26호스팩","KOSDAQ","금융","2135","0","0.00","11753175000"
"464680","KB제27호스팩","KOSDAQ","금융","1950","0","0.00","25164750000"
"476470","KB제28호스팩","KOSDAQ","금융","2095","0","0.00","11532975000"
"478390","KB제29호스팩","KOSDAQ","금융","2010","10","0.50","12502200000"
"486630","KB제30호스팩","KOSDAQ","금융","2000","0","0.00","10620000000"
"492220","KB제31호스팩","KOSDAQ","금융","1927","-1","-0.05","11966670000"
"021320","KCC건설","KOSDAQ","건설","4055","50","1.25","86777000000"
"036670","KCI","KOSDAQ","화학","6600","-10","-0.15","74382000000"
"044180","KD","KOSDAQ","건설","617","-51","-7.63","16484881983"
"046440","KG모빌리언스","KOSDAQ","IT 서비스","4735","-45","-0.94","183839064480"
"151860","KG에코솔루션","KOSDAQ","화학","4945","215","4.55","242814344890"
"035600","KG이니시스","KOSDAQ","IT 서비스","8880","110","1.25","247791373920"
"226360","KH 건설","KOSDAQ","건설","2555","0","0.00","60698450260"
"111870","KH 미래물산","KOSDAQ","전기·전자","8910","0","0.00","43928518590"
"060720","KH바텍","KOSDAQ","전기·전자","8330","210","2.59","197233091860"
"058400","KNN","KOSDAQ","오락·문화","827","17","2.10","109519378440"
"101000","KS인더스트리","KOSDAQ","기계·장비","2090","-65","-3.02","64052503790"
"122450","KX","KOSDAQ","오락·문화","3015","55","1.86","136687931460"
"052900","KX하이텍","KOSDAQ","화학","912","14","1.56","50258055504"
"376190","LB루셈","KOSDAQ","전기·전자","4000","45","1.14","98400000000"
"061970","LB세미콘","KOSDAQ","전기·전자","3740","180","5.06","163754374080"
"309960","LB인베스트먼트","KOSDAQ","금융","3245","60","1.88","75339940555"
"225190","LK삼양","KOSDAQ","의료·정밀기기","2750","5","0.18","139558210000"
"060370","LS마린솔루션","KOSDAQ","건설","15480","-20","-0.13","505713859920"
"417200","LS머트리얼즈","KOSDAQ","전기·전자","12250","400","3.38","828745072750"
"078020","LS증권","KOSDAQ","금융","3750","5","0.13","208054462500"
"476080","M83","KOSDAQ","오락·문화","15080","20","0.13","117397800000"
"086960","MDS테크","KOSDAQ","IT 서비스","1005","33","3.40","93285896940"
"038340","MIT","KOSDAQ","전기·전자","1233","0","0.00","39979891836"
"160550","NEW","KOSDAQ","오락·문화","2190","65","3.06","61114372140"
"053290","NE능률","KOSDAQ","오락·문화","3800","55","1.47","62799966600"
"060250","NHN KCP","KOSDAQ","금융","7570","0","0.00","304015825270"
"104200","NHN벅스","KOSDAQ","IT 서비스","2875","70","2.50","42629206250"
"222160","NPX","KOSDAQ","기계·장비","8040","0","0.00","79551289560"
"024940","PN풍년","KOSDAQ","유통","8220","260","3.27","82200000000"
"218410","RFHIC","KOSDAQ","전기·전자","13010","190","1.48","344562590420"
"327260","RF머트리얼즈","KOSDAQ","전기·전자","4950","25","0.51","41744493450"
"474610","RF시스템즈","KOSDAQ","금속","4045","-55","-1.34","50894444835"
"091340","S&K폴리텍","KOSDAQ","전기·전자","2620","150","6.07","30663749020"
"419530","SAMG엔터","KOSDAQ","오락·문화","13150","-70","-0.53","112970729500"
"019550","SBI인베스트먼트","KOSDAQ","금융","813","-5","-0.61","131760125475"
"950110","SBI핀테크솔루션즈","KOSDAQ","출판·매체복제","4975","0","0.00","119661386500"
"036120","SCI평가정보","KOSDAQ","IT 서비스","2380","-20","-0.83","84490000000"
"246960","SCL사이언스","KOSDAQ","제약","8250","-80","-0.96","60088058250"
"099220","SDN","KOSDAQ","유통","1174","56","5.01","65945706114"
"036540","SFA반도체","KOSDAQ","전기·전자","3180","95","3.08","522983763540"
"255220","SG","KOSDAQ","비금속","2990","55","1.87","289904073160"
"040610","SG&G","KOSDAQ","운송·창고","1610","17","1.07","54880385560"
"049470","SGA","KOSDAQ","IT 서비스","295","5","1.72","17364363455"
"184230","SGA솔루션즈","KOSDAQ","IT 서비스","466","2","0.43","29171209026"
"016250","SGC E&C","KOSDAQ","건설","13280","310","2.39","43074808800"
"048550","SM C&C","KOSDAQ","일반서비스","1451","24","1.68","140332913620"
"063440","SM Life Design","KOSDAQ","출판·매체복제","1261","3","0.24","58042763194"
"067160","SOOP","KOSDAQ","IT 서비스","93000","2800","3.10","1069013331000"
"289080","SV인베스트먼트","KOSDAQ","금융","1361","1","0.07","72451474000"
"089230","THE E&M","KOSDAQ","IT 서비스","947","-13","-1.35","20723156491"
"032540","TJ미디어","KOSDAQ","전기·전자","4800","40","0.84","66871723200"
"022220","TKG애강","KOSDAQ","화학","975","3","0.31","50499714525"
"048770","TPC","KOSDAQ","기계·장비","2140","-10","-0.47","33593700740"
"246690","TS인베스트먼트","KOSDAQ","금융","972","-1","-0.10","40316481864"
"317240","TS트릴리온","KOSDAQ","화학","279","0","0.00","29920217238"
"057030","YBM넷","KOSDAQ","일반서비스","4525","40","0.89","73814953925"
"040300","YTN","KOSDAQ","오락·문화","3225","35","1.10","135450000000"
"051390","YW","KOSDAQ","유통","3670","25","0.69","41674200560"
"052220","iMBC","KOSDAQ","오락·문화","3525","-20","-0.56","81075000000"
"079940","가비아","KOSDAQ","IT 서비스","17250","50","0.29","233490549000"
"078890","가온그룹","KOSDAQ","전기·전자","3185","50","1.59","55845484240"
"399720","가온칩스","KOSDAQ","전기·전자","43000","1500","3.61","498684760000"
"036620","감성코퍼레이션","KOSDAQ","유통","3120","20","0.65","285431128320"
"198440","강동씨앤엘","KOSDAQ","비금속","1237","18","1.48","75372755352"
"217730","강스템바이오텍","KOSDAQ","제약","2090","75","3.72","117153171410"
"114190","강원에너지","KOSDAQ","전기·전자","9420","470","5.25","246079017960"
"094480","갤럭시아머니트리","KOSDAQ","IT 서비스","7940","50","0.63","311484913720"
"039240","경남스틸","KOSDAQ","금속","5700","845","17.40","153783742800"
"053950","경남제약","KOSDAQ","제약","819","20","2.50","64002686202"
"011040","경동제약","KOSDAQ","제약","6230","50","0.81","191689412180"
"024910","경창산업","KOSDAQ","운송장비·부품","2005","75","3.89","71817105025"
"049720","고려신용정보","KOSDAQ","일반서비스","10050","10","0.10","143715000000"
"014570","고려제약","KOSDAQ","제약","4695","45","0.97","51645000000"
"348150","고바이오랩","KOSDAQ","일반서비스","5620","170","3.12","108881037000"
"950190","고스트스튜디오","KOSDAQ","출판·매체복제","8760","30","0.34","118959853920"
"098460","고영","KOSDAQ","기계·장비","8770","-120","-1.35","602102201350"
"035290","골드앤에스","KOSDAQ","오락·문화","422","12","2.93","20119474560"
"900280","골든센츄리","KOSDAQ","금융","5","0","0.00","1027021440"
"215000","골프존","KOSDAQ","IT 서비스","67800","2300","3.51","425473137000"
"121440","골프존뉴딘홀딩스","KOSDAQ","유통","3520","25","0.72","150785599360"
"366030","공구우먼","KOSDAQ","섬유·의류","3725","75","2.05","84385591250"
"014200","광림","KOSDAQ","운송장비·부품","30200","0","0.00","91311391200"
"029480","광무","KOSDAQ","전기·전자","2530","90","3.69","139222411130"
"026910","광진실업","KOSDAQ","금속","1996","17","0.86","12785188380"
"440790","교보13호스팩","KOSDAQ","금융","2115","20","0.95","8565750000"
"456490","교보14호스팩","KOSDAQ","금융","2100","15","0.72","8820000000"
"465320","교보15호스팩","KOSDAQ","금융","2100","15","0.72","8001000000"
"482520","교보16호스팩","KOSDAQ","금융","2005","10","0.50","12230500000"
"489210","교보17호스팩","KOSDAQ","금융","1970","-4","-0.20","10204600000"
"053270","구영테크","KOSDAQ","운송장비·부품","2050","15","0.74","56191330250"
"066620","국보디자인","KOSDAQ","건설","18160","50","0.28","136200000000"
"043650","국순당","KOSDAQ","음식료·담배","4840","170","3.64","86434191360"
"006050","국영지앤엠","KOSDAQ","비금속","1657","48","2.98","57821417651"
"060480","국일신동","KOSDAQ","금속","1754","6","0.34","19451860000"
"078130","국일제지","KOSDAQ","종이·목재","800","0","0.00","901924696800"
"307750","국전약품","KOSDAQ","제약","3645","75","2.10","178857485505"
"035080","그래디언트","KOSDAQ","유통","12010","0","0.00","164255941980"
"453450","그리드위즈","KOSDAQ","일반서비스","17630","630","3.71","140030682500"
"204020","그리티","KOSDAQ","섬유·의류","2900","5","0.17","58427547000"
"402490","그린리소스","KOSDAQ","전기·전자","20500","1960","10.57","169451852000"
"114450","그린생명과학","KOSDAQ","제약","1666","41","2.52","33320000000"
"186230","그린플러스","KOSDAQ","금속","7670","-80","-1.03","82990841960"
"900070","글로벌에스엠","KOSDAQ","금융","422","16","3.94","22679954496"
"204620","글로벌텍스프리","KOSDAQ","금융","3455","15","0.44","211155900925"
"019660","글로본","KOSDAQ","유통","582","-7","-1.19","20248214172"
"053260","금강철강","KOSDAQ","금속","4010","10","0.25","75067200000"
"282720","금양그린파워","KOSDAQ","건설","9470","170","1.83","114771665000"
"036190","금화피에스시","KOSDAQ","건설","24500","-100","-0.41","147000000000"
"049080","기가레인","KOSDAQ","전기·전자","564","14","2.55","47874207708"
"420770","기가비스","KOSDAQ","기계·장비","26950","1700","6.73","341611678100"
"035460","기산텔레콤","KOSDAQ","전기·전자","1760","2","0.11","25656118400"
"308100","까스텔바작","KOSDAQ","유통","3135","70","2.28","20768537955"
"407400","꿈비","KOSDAQ","기타제조","9240","350","3.94","113277539760"
"187790","나노","KOSDAQ","화학","1025","0","0.00","31611850750"
"286750","나노브릭","KOSDAQ","화학","2135","85","4.15","45931448465"
"121600","나노신소재","KOSDAQ","화학","61400","3300","5.68","748839189200"
"247660","나노씨엠에스","KOSDAQ","전기·전자","6850","130","1.93","29755852000"
"039860","나노엔텍","KOSDAQ","의료·정밀기기","3315","20","0.61","106444921830"
"091970","나노캠텍","KOSDAQ","화학","663","-5","-0.75","24807797859"
"417010","나노팀","KOSDAQ","기계·장비","7230","260","3.73","142606891440"
"405920","나라셀라","KOSDAQ","유통","3105","15","0.49","39986425980"
"051490","나라엠앤디","KOSDAQ","기계·장비","3810","20","0.53","54102000000"
"137080","나래나노텍","KOSDAQ","기계·장비","4015","110","2.82","44403579330"
"190510","나무가","KOSDAQ","전기·전자","14340","-360","-2.45","233231266560"
"242040","나무기술","KOSDAQ","IT 서비스","1507","-2","-0.13","52151639848"
"089600","나스미디어","KOSDAQ","일반서비스","14240","360","2.59","164730641120"
"293580","나우IB","KOSDAQ","금융","1350","-28","-2.03","128155432500"
