종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","4360","65","1.51","197302029240"
"006840","AK홀딩스","KOSPI","기타금융","9900","230","2.38","131150853900"
"027410","BGF","KOSPI","기타금융","3445","-15","-0.43","329744344995"
"282330","BGF리테일","KOSPI","유통","103600","2100","2.07","1790612661600"
"138930","BNK금융지주","KOSPI","기타금융","10460","-50","-0.48","3351768164420"
"001460","BYC","KOSPI","섬유·의류","29400","0","0.00","183636810000"
"001465","BYC우","KOSPI","섬유·의류","12970","40","0.31","27935434500"
"001040","CJ","KOSPI","기타금융","97100","-400","-0.41","2833086505800"
"079160","CJ CGV","KOSPI","오락·문화","5310","20","0.38","879230192940"
"00104K","CJ4우(전환)","KOSPI","기타금융","77000","0","0.00","325441424000"
"000120","CJ대한통운","KOSPI","운송·창고","85100","1000","1.19","1941330474400"
"011150","CJ씨푸드","KOSPI","음식료·담배","2995","45","1.53","107612665135"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","19990","-2010","-9.14","3998000000"
"001045","CJ우","KOSPI","기타금융","57200","200","0.35","129284755600"
"097950","CJ제일제당","KOSPI","음식료·담배","251500","4000","1.62","3786127779000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","126500","900","0.72","167920274500"
"000480","CR홀딩스","KOSPI","비금속","5700","20","0.35","267275793000"
"000590","CS홀딩스","KOSPI","기타금융","70300","-200","-0.28","81160084600"
"012030","DB","KOSPI","IT 서비스","1299","6","0.46","261324938967"
"016610","DB금융투자","KOSPI","증권","5190","0","0.00","220296758910"
"005830","DB손해보험","KOSPI","보험","102600","0","0.00","7264080000000"
"000990","DB하이텍","KOSPI","전기·전자","33050","150","0.46","1467373333400"
"139130","DGB금융지주","KOSPI","기타금융","8250","80","0.98","1395453122250"
"001530","DI동일","KOSPI","유통","49250","-50","-0.10","1055591108500"
"000210","DL","KOSPI","화학","32500","1450","4.67","681066230000"
"000215","DL우","KOSPI","화학","20150","250","1.26","33975217250"
"375500","DL이앤씨","KOSPI","건설","31350","650","2.12","1213045081050"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","20700","-300","-1.43","43717385700"
"37550K","DL이앤씨우","KOSPI","건설","16000","380","2.43","33822160000"
"007340","DN오토모티브","KOSPI","전기·전자","18330","-10","-0.05","1082677305450"
"004840","DRB동일","KOSPI","화학","4155","60","1.47","82809150000"
"155660","DSR","KOSPI","금속","4090","60","1.49","65440000000"
"069730","DSR제강","KOSPI","금속","3910","100","2.62","56304000000"
"017860","DS단석","KOSPI","화학","34550","5700","19.76","607534524600"
"017940","E1","KOSPI","유통","69000","900","1.32","473340000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","4460","125","2.88","950376940000"
"383220","F&F","KOSPI","섬유·의류","59400","3200","5.69","2275440255000"
"007700","F&F홀딩스","KOSPI","기타금융","12260","300","2.51","479542139420"
"114090","GKL","KOSPI","오락·문화","11550","220","1.94","714432988500"
"078930","GS","KOSPI","기타금융","39150","350","0.90","3637637048700"
"006360","GS건설","KOSPI","건설","17950","600","3.46","1536187745500"
"001250","GS글로벌","KOSPI","유통","2755","40","1.47","227380519820"
"007070","GS리테일","KOSPI","유통","17170","30","0.18","1435539315550"
"078935","GS우","KOSPI","기타금융","37050","300","0.82","66127803300"
"499790","GS피앤엘","KOSPI","기타금융","22250","50","0.23","441236212250"
"012630","HDC","KOSPI","기타금융","12260","170","1.41","732433499460"
"039570","HDC랩스","KOSPI","건설","8250","-260","-3.06","214150208250"
"089470","HDC현대EP","KOSPI","화학","3500","60","1.74","111650000000"
"294870","HDC현대산업개발","KOSPI","건설","17790","140","0.79","1172491400700"
"009540","HD한국조선해양","KOSPI","기타금융","223000","-8000","-3.46","15782404868000"
"267250","HD현대","KOSPI","기타금융","84200","-1400","-1.64","6651217757000"
"267270","HD현대건설기계","KOSPI","기계·장비","61200","-200","-0.33","1120301863200"
"443060","HD현대마린솔루션","KOSPI","일반서비스","152000","-2900","-1.87","6756400000000"
"071970","HD현대마린엔진","KOSPI","기계·장비","24600","-1700","-6.46","834468777000"
"010620","HD현대미포","KOSPI","운송장비·부품","127900","-6600","-4.91","5108600857100"
"322000","HD현대에너지솔루션","KOSPI","전기·전자","21750","1350","6.62","243600000000"
"042670","HD현대인프라코어","KOSPI","기계·장비","7000","-10","-0.14","1348591069000"
"267260","HD현대일렉트릭","KOSPI","전기·전자","400000","-7000","-1.72","14418854000000"
"329180","HD현대중공업","KOSPI","운송장비·부품","285500","-3500","-1.21","25344724618000"
"097230","HJ중공업","KOSPI","건설","5890","-190","-3.13","490485515090"
"014790","HL D&I","KOSPI","건설","2155","0","0.00","81585285155"
"003580","HLB글로벌","KOSPI","유통","4350","200","4.82","212161675650"
"204320","HL만도","KOSPI","운송장비·부품","40400","-1800","-4.27","1897067648000"
"060980","HL홀딩스","KOSPI","기타금융","34100","100","0.29","336705787000"
"011200","HMM","KOSPI","운송·창고","18370","670","3.79","16184695541520"
"035000","HS애드","KOSPI","일반서비스","6270","-50","-0.79","103877654430"
"002460","HS화성","KOSPI","건설","9810","70","0.72","99571500000"
"487570","HS효성","KOSPI","기타금융","30450","400","1.33","113454477150"
"298050","HS효성첨단소재","KOSPI","화학","182000","8700","5.02","815350536000"
"003560","IHQ","KOSPI","오락·문화","10760","0","0.00","64669472240"
"175330","JB금융지주","KOSPI","기타금융","15700","-100","-0.63","3062806208600"
"234080","JW생명과학","KOSPI","제약","10930","150","1.39","173071675220"
"001060","JW중외제약","KOSPI","제약","24700","750","3.13","575162471000"
"001067","JW중외제약2우B","KOSPI","제약","60600","0","0.00","12724363800"
"001065","JW중외제약우","KOSPI","제약","29600","-50","-0.17","10121749600"
"096760","JW홀딩스","KOSPI","기타금융","3025","40","1.34","223622949550"
"105560","KB금융","KOSPI","기타금융","83800","400","0.48","32977681847400"
"415640","KB발해인프라","KOSPI","기타금융","7760","-50","-0.64","950953452480"
"432320","KB스타리츠","KOSPI","부동산","3995","35","0.88","405150068575"
"002380","KCC","KOSPI","화학","230500","2500","1.10","2048331565500"
"344820","KCC글라스","KOSPI","비금속","37100","-350","-0.93","592505995200"
"009070","KCTC","KOSPI","운송·창고","3930","50","1.29","117900000000"
"009440","KC그린홀딩스","KOSPI","기타금융","901","6","0.67","20640122416"
"119650","KC코트렐","KOSPI","기계·장비","600","9","1.52","38528597400"
"092220","KEC","KOSPI","전기·전자","817","22","2.77","164023486197"
"003620","KG모빌리티","KOSPI","운송장비·부품","3840","130","3.50","754192335360"
"016380","KG스틸","KOSPI","금속","5700","170","3.07","570050712900"
"001390","KG케미칼","KOSPI","화학","3760","95","2.59","257443590400"
"033180","KH 필룩스","KOSPI","전기·전자","6630","0","0.00","128260035150"
"015590","KIB플러그에너지","KOSPI","기계·장비","515","0","0.00","122045495160"
"001940","KISCO홀딩스","KOSPI","금속","19160","-600","-3.04","309939440800"
"025000","KPX케미칼","KOSPI","화학","43300","-200","-0.46","209572000000"
"092230","KPX홀딩스","KOSPI","화학","52400","-100","-0.19","221371450400"
"000040","KR모터스","KOSPI","운송장비·부품","480","21","4.58","28863776640"
"044450","KSS해운","KOSPI","운송·창고","8670","90","1.05","200154579600"
"030200","KT","KOSPI","통신","44500","550","1.25","11214964982500"
"033780","KT&G","KOSPI","기타제조","105700","-1400","-1.31","13250815932900"
"058850","KTcs","KOSPI","IT 서비스","2710","5","0.18","115676350000"
"058860","KTis","KOSPI","IT 서비스","2620","10","0.38","91181240000"
"093050","LF","KOSPI","섬유·의류","15700","110","0.71","459068000000"
"003550","LG","KOSPI","기타금융","74100","1900","2.63","11656003581300"
"034220","LG디스플레이","KOSPI","전기·전자","9190","130","1.43","4595000000000"
