종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","1848","27","1.48","1802","1854","1802","231629","424281110","98053105920","53059040"
"054620","APS","중견기업부","5260","-20","-0.38","5500","5500","5210","6832","35905420","104643602460","19894221"
"265520","AP시스템","우량기업부","15760","50","0.32","15710","15970","15450","38680","609788770","240835194960","15281421"
"211270","AP위성","벤처기업부","12630","530","4.38","11860","12660","11790","98138","1218408450","190489499520","15082304"
"109960","AP헬스케어","중견기업부","521","19","3.78","481","529","481","289895","145957600","104611209149","200789269"
"139050","BF랩스","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"126600","BGF에코머티리얼즈","우량기업부","2830","90","3.28","2690","2885","2685","45401","125504555","177630324170","62766899"
"013720","CBI","중견기업부","806","-4","-0.49","825","825","797","123017","98433957","35970277616","44628136"
"083790","CG인바이츠","벤처기업부","2405","20","0.84","2380","2415","2315","64443","153994560","184930507710","76894182"
"035760","CJ ENM","중견기업부","53700","-800","-1.47","53900","55600","53700","45214","2460726400","1177595569800","21929154"
"311690","CJ 바이오사이언스","기술성장기업부","10090","270","2.75","9850","10160","9850","16937","170055640","131830511580","13065462"
"051500","CJ프레시웨이","우량기업부","17460","-150","-0.85","17600","17600","17300","9488","165432460","207277891560","11871586"
"058820","CMG제약","우량기업부","1768","46","2.67","1722","1788","1711","232087","408615735","245561487392","138892244"
"023460","CNH","관리종목(소속부없음)","109","0","0.00","0","0","0","0","0","4054800000","37200000"
"056730","CNT85","중견기업부","691","4","0.58","682","699","669","20471","13915000","51210829526","74111186"
"065770","CS","벤처기업부","1753","75","4.47","1678","1810","1593","1079604","1849067575","34027710890","19411130"
"083660","CSA 코스믹","중견기업부","1030","-29","-2.74","1030","1040","1002","22383","22787380","63084596430","61247181"
"456440","DB금융스팩11호","SPAC(소속부없음)","2275","0","0.00","0","0","0","0","0","12091625000","5315000"
"477760","DB금융스팩12호","SPAC(소속부없음)","2035","36","1.80","2030","2035","2015","21461","43537655","11884400000","5840000"
"099520","DGI","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"060900","DGP","중견기업부","994","-6","-0.60","1011","1011","957","33572","33249693","25106679626","25258229"
"290120","DH오토리드","우량기업부","2210","0","0.00","2225","2400","2200","11528","25995200","34288454980","15515138"
"025440","DH오토웨어","중견기업부","819","13","1.61","807","826","805","19966","16250498","25209822456","30781224"
"068790","DMS","우량기업부","5880","-150","-2.49","6050","6050","5820","29900","176616360","144489598680","24573061"
"241520","DSC인베스트먼트","중견기업부","2880","15","0.52","2805","2880","2795","37796","107359430","79188840000","27496125"
